,ID,Text,Category
0,2035,errors  doomed first dome sale the initial attempt to sell the millennium dome failed due to a catalogue of errors  a report by the government s finance watchdog says.  the report said too many parties were involved in decision-making when the attraction first went on sale after the millennium exhibition ended. the national audit office said the dome cost taxpayers Â£28.7m to maintain and sell in the four years after it closed. finally  a deal to turn it into a sport and entertainment venue was struck. more than Â£550m could now be returned to the public sector in the wake of the deal to regenerate the site in greenwich  london.  the nao report said that this sale went through because it avoided many of the problems of the previous attempt to sell the dome. deputy prime minister john prescott said a good deal had been secured.  delivery of the many benefits secured through this deal will continue the substantial progress already made at the millennium village and elsewhere on the peninsula   he said. but edward leigh  who is chairman of the commons public accounts committee  warned the government would have to work hard to ensure taxpayers would get full benefit from the dome deal. he said:  this report also shows that the first attempt to sell the dome proved a complete fiasco. every arm of government seems to have had a finger in the pie. the process was confused and muddled.  he added:  four years after the millennium exhibition closed  the government finally has a deal to find a use for what has been a white elephant since it closed in a deal that  incredible as it may seem  should bring in some money and provide a benefit for the local area and the country as whole. however  it was more a question of luck that a strong bid turned up after thefirst abortive attempt.  nao head sir john bourn said:  in difficult circumstances following the failure of the first competition  english partnerships and the office of the deputy prime minister have worked hard to get a deal.,politics
1,440,lib dems  to target stamp duty  the liberal democrats are promising to raise the stamp duty threshold if they win the general election  in a bid to court first-time house buyers.  vince cable  the party s treasury spokesman  said raising the threshold to Â£150 000 would prevent over 400 000 home-buyers from paying the tax. he said first-time buyers were being  squeezed out  of the housing market. the labour party said the liberal democrats needed to explain how they would pay for the plan. the plan forms part of a wider lib dems policy to encourage first time buyers and those on lower incomes into the market.  under the proposals  the average saving for a new buyer would be more than Â£1 000  according to mr cable.  first time buyers are being squeezed out of the housing market not only by higher house prices but also by being swept into the stamp duty net   he said.  by failing to uprate the stamp duty threshold gordon brown has hit first time buyers and those on low incomes the hardest.  by pledging to increase the threshold to Â£150 000  the liberal democrats will make it possible for many first time buyers to buy a property without facing this tax.  paul boateng mp  labour s chief secretary to the treasury  said:  the lib dems  sums don t add up.  they can have no credibility until they can say how they would fund their ever growing list of tax and spending commitments.  mr cable will publish his  alternative budget  on monday.,politics
2,1374,uk economy facing  major risks  the uk manufacturing sector will continue to face  serious challenges  over the next two years  the british chamber of commerce (bcc) has said.  the group s quarterly survey of companies found exports had picked up in the last three months of 2004 to their best levels in eight years. the rise came despite exchange rates being cited as a major concern. however  the bcc found the whole uk economy still faced  major risks  and warned that growth is set to slow. it recently forecast economic growth will slow from more than 3% in 2004 to a little below 2.5% in both 2005 and 2006.  manufacturers  domestic sales growth fell back slightly in the quarter  the survey of 5 196 firms found. employment in manufacturing also fell and job expectations were at their lowest level for a year.   despite some positive news for the export sector  there are worrying signs for manufacturing   the bcc said.  these results reinforce our concern over the sector s persistent inability to sustain recovery.  the outlook for the service sector was  uncertain  despite an increase in exports and orders over the quarter  the bcc noted.  the bcc found confidence increased in the quarter across both the manufacturing and service sectors although overall it failed to reach the levels at the start of 2004. the reduced threat of interest rate increases had contributed to improved confidence  it said. the bank of england raised interest rates five times between november 2003 and august last year. but rates have been kept on hold since then amid signs of falling consumer confidence and a slowdown in output.  the pressure on costs and margins  the relentless increase in regulations  and the threat of higher taxes remain serious problems   bcc director general david frost said.  while consumer spending is set to decelerate significantly over the next 12-18 months  it is unlikely that investment and exports will rise sufficiently strongly to pick up the slack.,business
3,360,baa support ahead of court battle uk airport operator baa has reiterated its support for the government s aviation expansion plans to airports throughout the country.  the comments come a day ahead of a high court challenge by residents  groups and local councils to the government s white paper. the judicial review will centre on government plans for expansion at heathrow  stansted and luton airports. baa  which operates all three  said it was consulting with local communities.  we are...consulting on voluntary compensation schemes which go beyond our statutory obligations   a baa spokesman said.  groups challenging the plans include stop stansted expansion  heathrow anti-noise campaigners hacan clearskies and the london boroughs of hillingdon and wandsworth. at heathrow  gatwick  edinburgh and glasgow airports  baa launched a series of consultations on blight to properties from the proposed expansion in september 2004  which will close next week. the company is also offering to buy noise-hit properties for an index-linked  unblighted price. among other measures  baa has set up a homeowner support scheme for people living near stansted  and has launched a special scheme for those close to the airport but far enough away not to be covered by the homeowner scheme. at heathrow  baa said it was working closely with all interested parties to see how the strict environmental  air quality and noise targets for a third runway can be met.  at gatwick  the company has written to homes and business likely to be affected by any extra runway. stop stansted expansion said the white paper  published in december 2003  was  fundamentally flawed  and did not follow the proper consultation process.  we do not underestimate the scale of the challenge before us because the courts have never before overturned a government white paper   said stop stansted expansion chairman peter sanders said. hacan chairman john stewart said:  almost exactly a year ago the government published its 30-year aviation white paper with much fanfare.  it hoped that would be the end of the debate and it could proceed with its plans for a massive expansion of aviation.  yet  a year later the protesters are still here  and stronger than ever.   a judgement from mr justice sullivan is expected early in february.,politics
4,1598,survey confirms property slowdown government figures have confirmed a widely reported slowdown of the uk s housing market in late 2004.  house prices were 11.8% higher on the year in the last quarter of 2004  down from 16.3% in the july-to-september quarter  the land registry said. the average house price in england and wales was Â£182 920  down from Â£187 971 in july-september. the volume of sales between october and december dropped by nearly a quarter from the same period in 2003. the government figures are the first official confirmation of falls in the market at the end of 2004. land registry figures are less up to date than those of banks and building societies  since they record completions not mortgage approvals. however  the figures are viewed as the most accurate measure of house prices as they include all property transactions  including cash sales.  the cost of buying a home fell in seven out of 10 regions between the third and fourth quarters of 2004.  the biggest annual gains were made in wales  where house prices were up by 23% in the fourth quarter. house prices rose the slowest in greater london  being up by 6%. in the capital  the volume of sales fell by 23% from 36 185 in 2003 to 28 041 for the same period in 2004. there was also a decline in the number of million-pound properties sold in the capital  with 436 properties over Â£1m sold compared to 469 for the same period in 2003. although the figures point to a slowdown in the market  the most recent surveys from nationwide and halifax have indicated the market may be undergoing a revival. after registering falls at the back end of 2004  halifax said house prices rose by 0.8% in january and nationwide reported a rise of 0.4% in the first month of the year. members of the bank of england s rate-setting committee will make their latest decision on interest rates on thursday.,business
5,1771,astrazeneca hit by drug failure shares in anglo-swedish drug have closed down 8% in uk trade after the failure of its iressa drug in a major clinical trial.  the lung cancer drug did not significantly prolong survival in patients with the disease. this setback for the group follows the rejection by the us in october of its anti-coagulant pill exanta. meanwhile  another of its major money spinners - cholesterol drug crestor - is facing mounting safety concerns.  this would be two of the three blockbuster drugs that were meant to power the company forward failing... and we ve got risks on crestor   said nick turner  analyst at brokers jefferies.  astrazeneca had hoped to pitch its iressa drug against rival medicine tarceva. but iressa proved no better than a placebo in extending lives in the trial involving 1 692 patients. tarceva - made by osi pharmaceuticals  genentech and roche - has already proved to be successful in helping prolong the life of lung cancer patients. aztrazeneca has now appointed a new executive director to the board. john patterson will be in charge of drug development. the company said mr patterson would make  substantial changes to the clinical organisation and its processes .  i am determined to improve our development and regulatory performance  restore confidence in the company and value to shareholders   said chief executive tom mckillop.,business
6,1012,making your office work for you our mission to brighten up your working lives continues - and this time  we re taking a long hard look at your offices.  over the next few months  our panel of experts will be listening to your gripes about where you work  and suggesting ways to make your workspace more efficient  more congenial or simply prettier. this week  we re hearing from marianne petersen  who is planning to convert a barn in sweden into a base for her freelance writing work. click on the link under her photograph to read her story  and then scroll down to see what the panel have to say. and if you want to take part in the series  go to the bottom of the story to find out how to get in touch.  working from home presents a multitude of challenges. understanding your work personality allows you to work in terms of your own style. do you feel confident about your work output without conferring with others  are you able to retain discipline and self motivate to get the job done  do you build on the ideas of others - or are you a more introspective problem solver . in order for a virtual office to succeed  keeping the boundary between work and home life is essential. it may be useful to be quite rigid about who is allowed to visit  and to keep strict office hours. referring to the space as work will give those around you a clear message that this is professional space. it is imperative to consider how to bring the outside world into yours  keeping up to date with developments and maintaining a network. isolated work environments mean this has to be carefully thought out  and a strategy has to be developed that suits both your personality and your industry. joining professional groups or forming a loose association of like-minded people may assist. it is useful to structure these meetings in advance as often they get relegated to less important status when times are busy - with the danger that when the workload eases  they have to be resurrected.    prior to any interior work being undertaken it is essential to ensure that the roof and walls are made water-and-weather-tight  and the structure is checked for stability. it appears that the roof trusses may need repairs and additional bracing.  ideally  the roof should be replaced with an outer material in keeping with the character and location of the barn. this would also allow for a well-insulated inner skin to be provided which should be light coloured. it is likely that the most efficient way of heating the building is with electricity. in order to provide this the owner will need to have an electrical engineer calculate the potential heating  power and lighting load to make sure the mains supply and distribution capacity are adequate. ideally  it would be good to have a mains water supply and some means of drainage for toilet and washing facilities. the walls should be dry lined with a single skin of plasterboard laid over rockwool slab which will allow good wall insulation and the power and lighting circuits to be concealed  and the walls should be painted in a light colour. the owner mentions she might lay a new floor over the existing planks; this will improve the insulation and offer a level surface. i would suggest laying new oak veneer planks which can work in with the character of the barn. as for lighting  consider a combination of floor mounted uplights  wall lights (wall washers) and selected downlights. use a combination of mains voltage fluorescent fittings and dimmable units which can vary the light levels and the feel of the interior.    please click on the link to the right here to see my ideas for marianne s barn.  the layout of this office reflects the need to have a working area and a more relaxed meeting space. large desk space and extensive storage would combine with tub chairs to maximise the space available. the finishes chosen for the furniture will need to reflect the unusual setting  while the lighting and temperature control mechanisms used will further influence the workplace.    regarding accessing the internet via the connection in the main house  your plan of going wireless is sensible. a wireless router/access point in the house with a wireless lan card in the pc in the renovated area may be sufficient. however  important points to consider are the distance between the two buildings and the nature of the materials through which the signals have to pass  which could result in a weak signal strength. you may require an additional wireless access point in the renovated area. your local it supplier will be able to advise on this. if you haven t already invested in robust firewall and anti-virus software  it is essential to do so  to protect your investment. to really take advantage of wireless technology  you might consider a laptop computer and a docking station with external mouse and monitor. or you could use one of the new tablet computers  which allow you to write directly on the screen and convert into text with built-in hand recognition software. and finally  you will save money and space by considering a multi-function product for print  scan  copy and fax.,business
7,1361,call centre users  lose patience  customers trying to get through to call centres are getting impatient and quicker to hang up  a survey suggests.  once past the welcome message  callers on average hang up after just 65 seconds of listening to canned music. the drop in patience comes as the number of calls to call centres is growing at a rate of 20% every year.  customers are getting used to the idea of an  always available  society   says cara diemont of it firm dimension data  which commissioned the survey. however  call centres also saw a sharp increase of customers simply abandoning calls  she says  from just over 5% in 2003 to a record 13.3% during last year. when automated phone message systems are taken out of the equation  where customers have to pick their way through multiple options and messages  the number of abandoned calls is even higher - a sixth of all callers give up rather than wait. one possible reason for the lack in patience  ms diemont says  is the fact that more customers are calling  on the move  using their mobile phones.  the surge in customers trying to get through to call centres is also a reflection of the centres  growing range of tasks.  once a call centre may have looked after mortgages  now its agents may also be responsible for credit cards  insurance and current accounts   ms diemont says. problems are occurring because increased responsibility is not going hand-in-hand with more training  the survey found.  in what dimension data calls an  alarming development   the average induction time for a call centre worker fell last year from 36 to just 21 days  leaving  agents not equipped to deal with customers . this  ms diemont warns  is  scary  and not good for the bottom line either. poor training frustrates both call centre workers and customers. as a result  call centres have a high  churn rate   with nearly a quarter of workers throwing in the towel every year  which in turn forces companies to pay for training new staff. resolution rates - the number of calls where a customer s query is resolved to mutual satisfaction - are running at just 50%. when the query is passed on to a second or third person - a specialist or manager - rates rise to about 70%  but that is still well below the industry target of an 85% resolution rate.  suggestions that  outsourcing  - relocating call centres to low-cost countries like india or south africa - is to blame are wrong  ms diemont says.  there are  no big differences in wait time and call resolution  between call centres based in europe or north america and those in developing countries around the world.  you can make call centres perform anywhere if you have good management and the right processes in place   she says. however  companies that decide to  offshore  their operations are driven not just by cost considerations. only 42% of them say that saving money is the main consideration when closing domestic call centre operations. half of them argue that workers in other countries offer better skills for the money. but not everybody believes that outsourcing and offshoring are the solution. nearly two-thirds of all firms polled for the survey have no plans to offshore their call centres. they give three key reasons for not making the move:  - call centre operations are part of their business  core function     - they are worried about the risk of going abroad    - they fear that they will damage their brand if they join the offshoring drive. the survey was conducted by sunovate on behalf of dimension data  and is based on in-depth questionnaires of 166 call centres in 24 countries and five continents. what are your experiences with call centres  are you happy to listen to vivaldi or greensleeves  or do you want an immediate response  and if you work in a call centre: did your training prepare you for your job,business
8,1785,serena becomes world number two serena williams has moved up five places to second in the world rankings after her australian open win.  williams won her first grand slam title since 2003 with victory over lindsay davenport  the world number one. men s champion marat safin remains fourth in the atp rankings while beaten finalist lleyton hewitt replaces andy roddick as world number two. roger federer retains top spot  but safin has overtaken hewitt to become the new leader of the champions race. alicia molik  who lost a three-set thriller against davenport in the quarter-finals  is in the women s top 10 for the first time in her career. her rise means australia have a player in the top 10 of the men s and women s rankings for the first time in 21 years. and britain s elena baltacha  who qualified and then reached the third round  has risen to 120 in the world - a leap of 65 places and her highest ranking yet.,sport
9,1763,mps quiz aides over royal income senior officials at the two bodies generating private income for the queen and prince of wales are to be questioned by mps.  aides from the duchy of lancaster and duchy of cornwall will appear before the commons public accounts committee. it has been reported they could be questioned about prince charles  spending on camilla parker bowles. but bbc correspondent peter hunt said they are not responsible for how money is spent and may be unable to answer. duchy officials  who will appear before the committee on monday  are only responsible for generating money. the duchy of lancaster provides the queen s private income  while the duchy of cornwall provides prince charles  annual income. the duchy of cornwall is a 140 000-acre estate across 25 counties  and also includes residential properties  shops  offices  stocks and shares. it was set up in 1337 by king edward iii to provide income for successive heirs to the throne. it covers the cost of the prince s public and private life - neither charles  nor william and harry  receive taxpayers  money from the civil list. however  the prince of wales did receive over Â£4m from government departments and grants-in-aid in 2003-4. the duchy last year generated almost Â£12m. the prince has voluntarily paid income tax - currently 40% - since 1993.,politics
